id,sold_price,predicted_price
1162126,392000,399395.943375
58294,243921,234366.064625
1908569,1200000,1215290.647125
254699,280000,217405.0711875
964465,200000,225015.639140625
1680627,325000,334439.9335
979746,290000,274774.80425
1677309,335000,349484.0325
1649752,351000,264250.393453125
888475,150000,166550.19125
35986,150000,151027.3025
80829,210000,244027.55
1944901,290000,302576.9765625
1627032,585000,599808.86671875
141997,352000,352516.28925000003
157598,395000,408926.28543750005
1368878,550000,460772.58759375
455280,175000,172748.65460937502
653006,447000,452539.92703125
477010,635000,638233.212875
934105,210679,219331.489375
1612730,193000,199533.130875
500939,410000,427007.061
332548,318000,309776.3038125
1378762,165000,168999.55415625
1314403,162000,194002.836328125
1460221,760000,769514.781375
854071,385000,385529.219625
13453,275000,243727.77899999998
166173,260000,261084.11367187503
568740,385250,371284.524375
1146256,190970,189189.55899999998
774087,365000,335226.2709375
448083,415000,415624.82649999997
866712,226000,230624.15687500004
425255,476000,476649.71656250005
530603,225000,238103.1369375
1919230,460000,496472.0895625
332906,237500,231508.84453124998
1106123,340000,363880.39640625
924766,168000,163978.891625
347834,211750,212563.74175000002
1146961,280000,280078.32721875
507788,395000,392588.41453125
416764,770000,724336.471375
876773,274950,229457.9828125
110996,290000,290156.3665
636883,235000,246836.373953125
421852,385000,393290.74031250004
1375184,550000,546330.1640625
858089,175000,169702.060734375
1360688,710000,692318.9325
850257,640000,645232.696875
89275,300000,250946.33296874998
64116,363000,364348.09125
592288,500000,499586.765625
485003,265000,275410.8984375
690760,237000,229829.59364062498
1689075,347000,336863.6855625
1338089,231000,216218.830078125
1250620,530000,528466.411
957054,155000,156257.62525
854152,225000,239766.828125
88276,85000,189114.9429375
1526693,153000,153766.3474375
1756644,210000,219193.43540625
1459272,325000,318886.13953125
820736,275000,280066.0446875
207849,87500,83067.12317187499
765522,282000,277614.20687500003
1793936,330000,327088.65884375
1291563,143000,140584.53062499998
416801,376000,356866.10512499994
279033,305000,316013.7625
73763,550000,531888.8000624999
1710451,342500,345246.5844375
1810176,250000,259688.4825
995111,160000,177768.1481875
568583,355000,351779.773125
789945,640000,642449.5471875
1938356,116000,103632.768125
668716,250000,253666.85414062502
1767306,410000,380882.14453125
17011,194000,170520.00421875
226099,220000,199647.888703125
696345,150000,155437.10175
1406395,320000,310218.565
506184,315000,300672.694171875
942297,505000,503632.8878125
496260,622247,623752.5781875
1053927,142000,147548.1976875
811971,243000,256180.888828125
1049575,301000,284086.207625
1292807,880000,830541.7029375001
1205606,420000,426495.828125
150892,196500,205147.16578125
450198,1095154,1070505.4821249999
216184,557000,555933.8427500001
1269254,185000,187250.270625
1832967,491500,473016.7109375
389405,223000,232407.918421875
1742017,96667,158289.31109375
35703,500000,505982.46212499996
572252,438000,469135.47243749996
911231,310000,307218.615
682742,180000,217820.206578125
1398746,440000,438539.65593749995
725424,341367,346935.83812500007
416376,758000,770972.1873750001
934022,330000,367600.44762500003
420479,575000,526326.887125
1699202,115000,108948.854765625
603912,210000,207371.52953125
1344676,385000,374206.189
1665651,508000,505307.59643750003
27401,195000,193355.80240625
1185994,2408735,2395297.7055
1455301,176385,179363.229375
1505391,500000,500825.03453125
1767377,330000,366587.17125
1711067,230000,227417.16900000002
1585924,1194975,1195338.5595
1666170,284000,288988.7858125
1421161,90000,205528.083796875
248989,305000,305027.24215625
1527412,285000,293225.2835
63711,370000,363925.32693750004
1794402,205000,210523.86875
119638,150000,157404.19410937504
362927,410000,409712.44599999994
1045623,325000,330115.64025
1753301,195000,187689.52812499998
1428917,302000,306373.783625
637426,346000,347780.15996875
774687,870000,873107.595375
1170897,320000,324653.92059374996
1691629,197000,191912.86915624997
248005,256000,256269.78656250003
1144253,255000,248885.70637499998
1201654,280000,273021.36312500003
1011633,150000,309171.48046875
131320,400000,394462.713
947785,275000,280488.4090625
1884954,410000,368257.585625
801434,330000,324056.58709374996
888363,615000,594979.1123125
1193495,220000,226674.170734375
1839817,285000,229340.94726562503
755637,280000,284397.21196875
219439,475000,493322.30140625004
774045,310000,308524.58150000003
1117222,301000,295717.27625
615080,800000,802354.3178125
851307,220000,231332.64281249998
1444195,267500,252375.79734375
538295,190000,263136.06618749996
20775,218000,326993.170875
1696218,1050000,1049927.034
701769,90000,95942.1740859375
1361085,128000,177072.24393750002
519290,180000,154046.923875
1261363,340000,338868.01434375
1459604,655400,668445.8674999999
1691903,425000,427026.13312500005
1094226,325000,309672.075
1016881,432500,422560.075
618084,280000,316563.2705
757543,500000,501187.220625
290357,380000,376615.40625
462595,660000,660665.0902499999
1450883,200000,212986.70043750003
